contract_id,category,n_observations,duration_hours,avg_spread,avg_spread_pct,avg_volume,total_volume,avg_volatility,max_volatility,avg_depth_resilience,spread_collapse_slope,liquidity_resilience,burst_intensity,regime_entropy,dominant_regime,regime_pct_1,regime_pct_3,regime_pct_4,regime_pct_5,regime_pct_2,lifecycle_spread_early,lifecycle_spread_mid_early,lifecycle_spread_mid_late,lifecycle_spread_late,lifecycle_volume_early,lifecycle_volume_mid_early,lifecycle_volume_mid_late,lifecycle_volume_late,lifecycle_volatility_short_early,lifecycle_volatility_short_mid_early,lifecycle_volatility_short_mid_late,lifecycle_volatility_short_late
KXAAAGASM-25APR30-3.10,Economics,39570,659.4833333333333,9.221506191559262,0.14712204186240427,31.24109173616376,1236210,0.002438998411667965,0.9831816591651003,0.026769464105156723,-27.125388974155403,1.0,4.889268513906536,0.1598180994158539,1,94.92797573919636,1.7664897649734648,2.0368966388678293,1.2282031842304777,0.04043467273186758,11.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXFEDDECISION-25OCT-H0,Economics,122640,2043.9833333333333,2.6850293542074364,0.17415336599915854,123.42831865622962,15137249,0.006527951498024014,0.6708203932499369,0.012297154040609964,-4.826485246399812,1.0,4.545755430188039,0.22437354644120078,1,92.65003261578603,2.243150684931507,2.1828114807566865,1.9732550554468362,0.9507501630789302,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXCPI-25JUL-T0.2,Economics,87750,1462.4833333333333,36.076809116809116,0.7826219493121015,8.946575498575498,785062,0.0015623894114404572,0.31801855679997004,0.012018463642580352,-127.62632112172295,1.0,4.443492718540251,0.06554721333615933,1,98.28376068376068,0.46039886039886035,0.015954415954415956,0.4113960113960114,0.8284900284900285,100.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
KXCPI-25APR-T0.1,Economics,87746,1462.4166666666667,10.405431586625031,0.15564702021260315,5.479805347252296,480831,0.00048164612078584434,0.15652475842498534,0.017714507157837147,-25.909664077951778,1.0,5.193325128625657,0.04024600474876162,1,99.02445695530281,0.3282200898046635,0.002279306179199052,0.15157386091673694,0.4934697877965947,14.0,13.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXAAAGASM-25JUL31-3.10,Economics,44040,733.9833333333333,3.8298819255222525,0.05121381112899969,28.090213442325158,1237093,0.001976029612030819,0.19006577808748212,0.025262321144674086,-4.697400261225554,1.0,3.8432445146160688,0.16642086719038063,1,94.65940054495913,1.478201634877384,0.027247956403269755,1.6825613079019073,2.1525885558583107,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXCPI-25MAY-T0.0,Economics,87746,1462.4166666666667,20.878239463907185,0.36703655407164826,2.9508239691837805,258923,0.0002150498730598447,0.08944271909999157,0.007741406036290691,-73.13975114441436,1.0,5.08202429172358,0.04171376077168558,1,99.15209810133796,0.34075627379025825,,0.16866865726072983,0.3384769676110592,50.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXFEDDECISION-25SEP-C26,Economics,70796,1179.9166666666667,1.1653200745804848,0.19161223290925788,413.30031357703825,29260009,0.013194349919486757,0.5366563145999497,0.007685135478766988,0.008235873631467914,1.0,3.0449075114583204,0.3943912351348714,1,84.59941239618057,3.6004859031583707,4.70083055539861,5.114695745522345,1.9845753997400981,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXFEDDECISION-25OCT-C25,Economics,122640,2043.9833333333333,2.5972276581865623,0.042490926590224375,80.83488258317026,9913590,0.0005931731199038254,0.298142396999972,0.005153714425507624,-5.773600051801859,1.0,3.5039104477603535,0.15088142189350404,1,95.24787997390737,1.4571102413568167,0.0016307893020221789,1.9536855838225704,1.3396934116112198,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXCPI-25MAY-T0.1,Economics,87746,1462.4166666666667,18.787488888382377,0.3674024689011051,3.641875413124245,319560,0.0012026769795125006,0.2860052849823475,0.008590544360353789,-55.35291632276951,1.0,5.236056334227777,0.046321046962585447,1,98.87630205365487,0.38406309119504023,0.018234449433592415,0.29175119093747864,0.4296492147790213,17.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0
KXCPI-25JUL-T0.3,Economics,87750,1462.4833333333333,33.37867806267806,0.8545352392996196,5.755156695156695,505015,0.0037954343792269253,3.5031731647496707,0.00849099612491452,-117.79911993094088,1.0,4.7683882278310925,0.03935902859844253,1,99.07350427350427,0.24957264957264957,0.11737891737891737,0.07635327635327635,0.4831908831908832,92.0,8.0,5.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
KXCPI-25JUL-T0.1,Economics,87750,1462.4833333333333,38.661390313390314,0.7718020387971978,7.776740740740741,682409,0.0007210117558031435,0.4472135954999579,0.011543195805789833,-132.36358578405867,1.0,3.9382998113398546,0.048579625907586965,1,98.78404558404559,0.3418803418803419,0.0011396011396011395,0.2438746438746439,0.629059829059829,100.0,9.0,4.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
KXCPI-25APR-T0.2,Economics,87746,1462.4166666666667,12.202653112392587,0.21534938417411795,8.218346135436374,721127,0.0007474663343015534,0.149071198499986,0.02103241542810249,-28.919535042391406,1.0,5.498724147817398,0.0461720614149562,1,99.0369931392884,0.2655391698766896,,0.1857634536047227,0.5117042372301871,14.0,14.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXFEDDECISION-25SEP-C25,Economics,70796,1179.9166666666667,1.1154726255720662,0.015124532292648095,256.43478445109895,18154557,0.0018549177915152687,0.21023921631246087,0.005697454298872659,-0.24162479977644416,1.0,3.1675570820090586,0.34606786616778706,1,85.41725521215888,3.398497090231087,0.004237527543929035,8.460929996044975,2.7190801740211312,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXFEDDECISION-25OCT-C26,Economics,122640,2043.9833333333333,3.1034980430528374,0.5165392485024989,111.63776908023483,13691256,0.004810894198380186,0.8944271909999159,0.002772567887140178,-6.656033157553643,1.0,4.660189973633931,0.12892325123110976,1,96.02739726027397,1.7000978473581212,1.743313763861709,0.02364644487932159,0.5055446836268753,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXCPI-25SEP-T0.3,Economics,90630,1510.4833333333333,4.786351097870463,0.1281705322662604,2.4380668652763986,220962,0.0002215462991159987,0.10163945352271772,0.013131758993599647,-7.747285656588434,1.0,6.348653364635855,0.02179286847589663,1,99.58953988745448,0.1335098753172239,,0.030894847180845193,0.24605539004744567,8.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXCPI-25MAY-T0.2,Economics,87746,1462.4166666666667,15.999270622022657,0.4094968419493266,3.0349417637271214,266304,0.0013721298352757448,0.4333071682315171,0.006353150360171423,-45.33499484095681,1.0,5.715886117696457,0.03191922293598341,1,99.27404098192511,0.22109269938230805,0.0797757162719668,0.05926196065917535,0.36582864176144786,17.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXCPI-25APR-T0.3,Economics,87746,1462.4166666666667,13.047193034440316,0.3247241380108094,5.138524833040822,450885,0.001723965435164894,0.7155417527999328,0.025189203975563054,-28.911923970012456,1.0,5.865247273551079,0.03171483352701523,1,99.26720306338751,0.39659927518063504,0.23818749572630094,0.06382057301757345,0.03418959268798578,14.0,13.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXAAAGASM-25MAY31-3.10,Economics,44040,733.9833333333333,2.7037238873751135,0.03535726984352388,27.45812897366031,1209256,0.0014222359902543228,0.10927774320033018,0.024730865319100615,-2.726866103897412,1.0,3.676989650273109,0.14546398788004578,1,95.48138056312443,1.9686648501362396,1.262488646684832,1.2579473206176204,0.02951861943687557,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXFEDDECISION-24DEC-H0,Economics,17190,286.48333333333335,1.4146015125072717,0.24060645969425246,23.71390343222804,407642,0.007197236578364117,0.6708203932499369,0.008306169965075669,0.13756114318919563,1.0,4.2189371279776084,0.09632520359099213,1,97.32984293193716,0.983129726585224,0.9075043630017453,0.08726003490401396,0.6922629435718441,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXAAAGASM-25JUL31-3.15,Economics,44040,733.9833333333333,5.940099909173479,0.1634890938972075,44.1066757493188,1942458,0.014119177815976366,0.9384577285579782,0.05149670679082444,-0.4925554321534163,1.0,3.8296959031748514,0.286584289736626,1,89.98864668483198,3.3106267029972756,2.0231607629427795,2.8428701180744778,1.8346957311534968,2.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXFEDDECISION-25MAY-H0,Economics,70796,1179.9166666666667,1.3451466184530199,0.01656696010056618,186.98518277868806,13237803,0.002548399828724253,0.7020459735940434,0.01312971491537875,-0.7498883537755977,1.0,3.6106373557219205,0.35139871149919194,1,84.56833719419177,2.6074919486976667,2.5848918017967115,10.227978981863382,0.011300073450477429,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXFEDDECISION-25SEP-H0,Economics,70796,1179.9166666666667,1.164924572009718,0.12938776353846076,603.172834623425,42702224,0.015254902092332781,1.0110500592068736,0.008053852456700478,-0.3350807203358176,1.0,3.871342131304843,0.4531653703730893,1,81.37041640770664,2.6428046782304087,3.9239505056782873,5.651449234420023,6.41137917396463,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXHIGHMIA-25OCT24-B85.5,Weather,2280,37.983333333333334,3.6478070175438595,0.6290500421136254,104.2530701754386,237697,0.02106061257327708,0.5325620324600827,0.14189427312775332,-3.7876889176031034,1.0,4.130046324592335,0.25027861329503764,1,91.49122807017544,2.982456140350877,1.9298245614035088,0.9649122807017544,2.631578947368421,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015971914124998543,0.0
KXHIGHNY-25OCT13-T58,Weather,2280,37.983333333333334,2.682017543859649,0.4589927115928662,217.26008771929824,495353,0.03035920372830361,0.5911370231178449,0.08854625550660793,-2.205315074182628,1.0,3.3599425757681467,0.48343719499225146,1,79.69298245614034,5.131578947368421,3.421052631578948,7.368421052631578,4.385964912280701,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016258120563994234,0.0
KXHIGHNY-25OCT15-B65.5,Weather,2280,37.983333333333334,3.7407894736842104,0.6050614872978437,48.87543859649123,111436,0.017185414497201075,0.6548801817063061,0.10268722466960353,-9.084117076997657,1.0,4.247694034059213,0.32788369148610125,1,87.93859649122807,3.421052631578948,1.9298245614035088,4.605263157894736,2.1052631578947367,7.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015208883348845584,0.0
