category,lifecycle_bin,lifecycle_ratio,spread_median,spread_mean,spread_std,spread_p25,spread_p75,spread_n,volume_median,volume_mean,volume_std,volume_p25,volume_p75,volume_n,volatility_short_median,volatility_short_mean,volatility_short_std,volatility_short_p25,volatility_short_p75,volatility_short_n,depth_resilience_median,depth_resilience_mean,depth_resilience_std,depth_resilience_p25,depth_resilience_p75,depth_resilience_n
Politics,5,0.11,1.0,1.875,1.7809758560968758,1.0,2.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.00019964892656247746,0.0011115981783918303,0.0,0.0,32,0.0,0.009375000000000001,0.02914805954090255,0.0,0.0,32
Politics,6,0.13,1.0,2.125,1.653594569415369,1.0,3.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.003125,0.01739926363384382,0.0,0.0,32
Politics,7,0.15,1.0,2.03125,1.9118769409928036,1.0,2.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0002588041640624802,0.0014409606016190916,0.0,0.0,32,0.0,0.003125,0.01739926363384382,0.0,0.0,32
Politics,8,0.17,1.0,2.03125,1.8954612730150937,1.0,2.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0003493856216310881,0.0019452968130027864,0.0,0.0,32,0.0,0.003125,0.01739926363384382,0.0,0.0,32
Politics,9,0.19,1.0,1.8125,1.2358574958303243,1.0,2.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0001570272456109405,0.0008742907021059516,0.0,0.0,32,0.0,0.00625,0.024206145913796353,0.0,0.0,32
Politics,10,0.21,1.0,1.75,1.0897247358851685,1.0,2.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.00625,0.024206145913796356,0.0,0.0,32
Politics,11,0.23,1.0,1.5,1.0307764064044151,1.0,2.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,32
Politics,12,0.25,1.5,1.84375,1.2018052826893382,1.0,2.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.000325009880450239,0.0018095784299384866,0.0,0.0,32,0.0,0.00625,0.024206145913796353,0.0,0.0,32
Politics,13,0.27,1.0,1.6875,1.1021995055342748,1.0,2.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0005163801051911656,0.002007190241275163,0.0,0.0,32,0.0,0.003125,0.01739926363384382,0.0,0.0,32
Politics,14,0.29,1.0,1.8125,1.184205957593526,1.0,2.25,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0011127286328794718,0.0030571522736037977,0.0,0.0,32,0.0,0.003125,0.01739926363384382,0.0,0.0,32
Politics,15,0.31,1.5,1.75,0.9013878188659973,1.0,2.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.00035933310219362605,0.0020006820407788297,0.0,0.0,32,0.0,0.003125,0.01739926363384382,0.0,0.0,32
Politics,16,0.33,1.0,1.625,0.7806247497997998,1.0,2.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0013764401586519336,0.003455222561170817,0.0,0.0,32,0.0,0.009375000000000001,0.03840064289826409,0.0,0.0,32
Politics,17,0.35,1.5,2.3125,3.9799301187332423,1.0,2.0,32,0.0,0.0625,0.34798527267687634,0.0,0.0,32,0.0,0.001162524343272888,0.002732309593480052,0.0,0.0,32,0.0,0.003125,0.01739926363384382,0.0,0.0,32
Politics,18,0.37,1.0,1.625,0.9921567416492215,1.0,2.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0009334496860769184,0.00247866250046186,0.0,0.0,32,0.0,0.00625,0.03479852726768764,0.0,0.0,32
Politics,19,0.39,1.5,1.65625,0.7749747979773278,1.0,2.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0010277120320857187,0.0028992437240592727,0.0,0.0,32,0.0,0.015625,0.04408354993645589,0.0,0.0,32
Politics,20,0.41,1.0,1.8125,1.4670868242881878,1.0,2.0,32,0.0,0.03125,0.17399263633843817,0.0,0.0,32,0.0,0.0006564584200061224,0.0020432978010006546,0.0,0.0,32,0.0,0.009375000000000001,0.03840064289826409,0.0,0.0,32
Politics,21,0.43,1.0,1.84375,1.679087829001211,1.0,2.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0006678243585623882,0.0020834164702068893,0.0,0.0,32,0.0,0.00625,0.024206145913796356,0.0,0.0,32
Politics,22,0.45,1.0,1.59375,1.0565088440235604,1.0,2.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0004110419076284777,0.002288584484923508,0.0,0.0,32,0.0,0.00625,0.024206145913796356,0.0,0.0,32
Politics,23,0.47,1.0,1.59375,0.8609360821222444,1.0,2.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0008265186330456971,0.0022381696553305827,0.0,0.0,32,0.0,0.00625,0.024206145913796356,0.0,0.0,32
Politics,24,0.49,1.0,1.46875,0.6606992034958117,1.0,2.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0006028081284403296,0.0019181140359071295,0.0,0.0,32,0.0,0.00625,0.024206145913796353,0.0,0.0,32
Politics,25,0.51,1.0,1.5,0.75,1.0,2.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0002687581703723193,0.001496382163218399,0.0,0.0,32,0.0,0.0125,0.041457809879442496,0.0,0.0,32
Politics,26,0.53,1.0,1.625,1.2686114456365274,1.0,2.0,32,0.0,0.03125,0.17399263633843817,0.0,0.0,32,0.0,0.0005774661770952325,0.0018483897456746314,0.0,0.0,32,0.0,0.003125,0.01739926363384382,0.0,0.0,32
Politics,27,0.55,1.0,1.4375,0.7473912964438374,1.0,2.0,32,0.0,3.28125,18.26922681553601,0.0,0.0,32,0.0,0.0007357366952413223,0.0019708323715729886,0.0,0.0,32,0.0,0.009375000000000001,0.02914805954090255,0.0,0.0,32
Politics,28,0.57,1.0,1.375,0.6959705453537527,1.0,2.0,32,0.0,0.015625,0.08699631816921909,0.0,0.0,32,0.0,0.0009736815866524616,0.0023508923222174648,0.0,0.0,32,0.0,0.015625,0.04408354993645589,0.0,0.0,32
Politics,29,0.59,1.0,1.59375,1.1688502630790651,1.0,2.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0004740914204053003,0.0019352235241573926,0.0,0.0,32,0.0,0.003125,0.01739926363384382,0.0,0.0,32
Politics,30,0.61,1.0,1.375,1.0231690964840563,1.0,1.0,32,0.0,0.15625,0.8699631816921909,0.0,0.0,32,0.0,0.0007716153509537708,0.0020488887584651436,0.0,0.0,32,0.0,0.0125,0.033071891388307385,0.0,0.0,32
Politics,31,0.63,1.0,1.71875,1.9722191656862074,1.0,2.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0008988820265535139,0.0024419330827491646,0.0,0.0,32,0.0,0.0125,0.041457809879442496,0.0,0.0,32
Politics,32,0.65,1.0,1.46875,0.9348922063532245,1.0,2.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0016604876420001737,0.0038762908482104477,0.0,0.0,32,0.0,0.015625,0.04408354993645589,0.0,0.0,32
Politics,33,0.67,1.0,1.375,0.6959705453537527,1.0,2.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.00103371777419203,0.0024867327860485632,0.0,0.0,32,0.0,0.009375000000000001,0.02914805954090255,0.0,0.0,32
Politics,34,0.69,1.0,1.3125,0.6817945071647321,1.0,1.0,32,0.0,0.03125,0.17399263633843817,0.0,0.0,32,0.0,0.0006454017030647315,0.0021069176302935533,0.0,0.0,32,0.0,0.00625,0.024206145913796356,0.0,0.0,32
Politics,35,0.71,1.0,1.28125,0.4496092053105675,1.0,2.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0010650211079224342,0.002934016653422726,0.0,0.0,32,0.0,0.00625,0.024206145913796353,0.0,0.0,32
Politics,36,0.73,1.0,1.15625,0.3630921887069453,1.0,1.0,32,0.0,0.84375,4.697801181137831,0.0,0.0,32,0.0,0.0014152070170811444,0.0030108229849549746,0.0,0.0,32,0.0,0.00625,0.024206145913796353,0.0,0.0,32
Politics,37,0.75,1.0,1.1875,0.3903123748998999,1.0,1.0,32,0.0,0.0625,0.24206145913796356,0.0,0.0,32,0.0,0.0013830067184945382,0.002760790885161301,0.0,0.0,32,0.0,0.009375000000000001,0.02914805954090255,0.0,0.0,32
Politics,38,0.77,1.0,1.21875,0.4831132760543846,1.0,1.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0006905340436869783,0.0018525880083957163,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,32
Politics,39,0.79,1.0,1.21875,0.41339864235384227,1.0,1.0,32,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0003139559550487484,0.0012193619202785894,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,32
Politics,40,0.81,1.0,1.15625,0.3630921887069453,1.0,1.0,32,0.0,36.5625,203.57138451597268,0.0,0.0,32,0.0,0.00032052209265831804,0.0017845914850026852,0.0,0.0,32,0.0,0.003125,0.01739926363384382,0.0,0.0,32
Politics,41,0.83,1.0,1.15625,0.3630921887069453,1.0,1.0,32,0.0,24.609375,133.5599546069456,0.0,0.0,32,0.0,0.0007432586577899705,0.0020432387768011284,0.0,0.0,32,0.0,0.00625,0.024206145913796356,0.0,0.0,32
Politics,42,0.85,1.0,1.125,0.33071891388307384,1.0,1.0,32,0.0,31.25,150.9004742371607,0.0,0.0,32,0.0,0.0012700179265299893,0.003973334838294513,0.0,0.0,32,0.0,0.0125,0.0414578098794425,0.0,0.0,32
Politics,43,0.87,1.0,1.125,0.33071891388307384,1.0,1.0,32,0.0,35.578125,158.61623839942862,0.0,0.0,32,0.0,0.0007094449112379032,0.002211021198862079,0.0,0.0,32,0.0,0.009375000000000001,0.02914805954090255,0.0,0.0,32
Politics,44,0.89,1.0,1.15625,0.3630921887069453,1.0,1.0,32,0.0,10.671875,59.41848530957664,0.0,0.0,32,0.0,0.00029287976170030636,0.0011347329424809122,0.0,0.0,32,0.0,0.004687500000000001,0.019200321449132043,0.0,0.0,32
Politics,45,0.91,1.0,1.21875,0.41339864235384227,1.0,1.0,32,0.0,46.875,248.03222446891854,0.0,0.0,32,0.0,0.0007179429721718446,0.002571209738462093,0.0,0.0,32,0.0,0.009375,0.052197790901531455,0.0,0.0,32
Politics,46,0.93,1.0,1.21875,0.41339864235384227,1.0,1.0,32,0.0,65.9375,365.5096559514536,0.0,0.0,32,0.0,0.0007710620725593714,0.0028343887063123634,0.0,0.0,32,0.0,0.009375,0.052197790901531455,0.0,0.0,32
Politics,47,0.95,1.0,1.125,0.33071891388307384,1.0,1.0,32,0.0,8.578125,47.76097867490128,0.0,0.0,32,0.0,0.0003811429950687506,0.002122114385086088,0.0,0.0,32,0.0,0.009375,0.052197790901531455,0.0,0.0,32
Politics,48,0.97,1.0,1.09375,0.2914805954090255,1.0,1.0,32,0.0,3.3125,18.087353143840588,0.0,0.0,32,0.0,0.0001519067919497266,0.0008457812226895223,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,32
Politics,49,0.99,1.0,1.03125,0.17399263633843817,1.0,1.0,32,0.0,2.25,8.351646544245034,0.0,0.0,32,0.0,0.0007911099000153492,0.0021459826853594665,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,32
Weather,0,0.01,6.0,19.862068965517242,29.102641351781394,4.5,14.0,29,0.0,0.0,0.0,0.0,0.0,29,,,,,,29,0.0,0.07241379310344828,0.09057879680388757,0.0,0.1,29
Weather,1,0.03,6.0,18.224137931034484,28.555930058364698,4.0,14.0,29,0.0,0.0,0.0,0.0,0.0,29,,,,,,29,0.0,0.034482758620689655,0.06578891044254798,0.0,0.0,29
Weather,2,0.05,5.0,16.310344827586206,28.52718419003405,3.0,9.0,29,0.0,0.0,0.0,0.0,0.0,29,,,,,,29,0.0,0.034482758620689655,0.07554793896622981,0.0,0.0,29
Weather,3,0.07,4.0,15.448275862068966,27.812904728581326,2.0,9.0,29,0.0,0.0,0.0,0.0,0.0,29,,,,,,29,0.0,0.034482758620689655,0.06032019201564104,0.0,0.1,29
Weather,4,0.09,3.0,14.137931034482758,26.802887309638393,1.0,8.0,29,0.0,0.0,0.0,0.0,0.0,29,,,,,,29,0.0,0.03103448275862069,0.06487892318009233,0.0,0.0,29
Weather,5,0.11,3.0,11.068965517241379,19.37636497435731,2.0,9.0,29,0.0,0.0,0.0,0.0,0.0,29,,,,,,29,0.0,0.04310344827586207,0.09624334991001973,0.0,0.0,29
Weather,6,0.13,4.0,12.275862068965518,21.76504085838531,1.0,8.0,29,0.0,0.0,0.0,0.0,0.0,29,,,,,,29,0.0,0.05689655172413794,0.07511386520962747,0.0,0.1,29
Weather,7,0.15,4.0,10.482758620689655,19.27410392327447,2.0,8.0,29,0.0,0.0,0.0,0.0,0.0,29,,,,,,29,0.0,0.04137931034482759,0.06704214515594338,0.0,0.1,29
Weather,8,0.17,3.0,7.275862068965517,12.974501656031123,2.0,5.0,29,0.0,0.0,0.0,0.0,0.0,29,,,,,,29,0.0,0.03448275862068966,0.047531202593414555,0.0,0.1,29
Weather,9,0.19,3.0,7.724137931034483,13.119862677277922,1.0,5.0,29,0.0,0.0,0.0,0.0,0.0,29,,,,,,29,0.0,0.05862068965517242,0.08101613878945332,0.0,0.1,29
Weather,10,0.21,4.0,7.741379310344827,13.163835444684969,2.0,7.0,29,0.0,0.0,0.0,0.0,0.0,29,,,,,,29,0.0,0.055172413793103454,0.07233164470138975,0.0,0.1,29
Weather,11,0.23,2.0,10.931034482758621,21.807830030839458,1.0,5.0,29,0.0,0.0,0.0,0.0,0.0,29,,,,,,29,0.0,0.048275862068965524,0.0814552538690877,0.0,0.1,29
Weather,12,0.25,3.0,10.155172413793103,20.839742969605908,1.0,4.0,29,0.0,0.0,0.0,0.0,0.0,29,,,,,,29,0.0,0.04137931034482759,0.06574371022392282,0.0,0.1,29
Weather,13,0.27,3.0,8.413793103448276,18.163087314242038,1.0,5.0,29,0.0,0.0,0.0,0.0,0.0,29,,,,,,29,0.1,0.062068965517241385,0.07150497018388868,0.0,0.1,29
Weather,14,0.29,3.0,7.931034482758621,14.469780720600408,2.0,5.0,29,0.0,0.0,0.0,0.0,0.0,29,,,,,,29,0.1,0.1,0.12034433356286312,0.0,0.1,29
Weather,15,0.31,4.0,8.10344827586207,14.146023756144112,2.0,5.5,29,0.0,0.06896551724137931,0.36493121531925393,0.0,0.0,29,,,,,,29,0.1,0.09482758620689656,0.09316728335245722,0.0,0.2,29
Weather,16,0.33,4.0,7.5,11.645629637558136,2.0,6.0,29,0.0,0.0,0.0,0.0,0.0,29,,,,,,29,0.1,0.1,0.09468641529479986,0.0,0.2,29
